,,SARIMA,,,,,,,,ARIMA,,,,,,,,LSTM,,,,,
,test,predict,item,abs(diff),diff,3 months,,,test,predict,item,abs(diff),diff,3 months,,,test,predict,item,abs(diff),diff,3 months,Winner
m+1,2,9,EFX-FLY-BLK,7,7,5,,m+1,2,3,EFX-FLY-BLK,2,1,3,,m+1,2,3,EFX-FLY-BLK,1,1,1,LSTM
m+2,2,0,EFX-FLY-BLK,2,-2,,,m+2,2,3,EFX-FLY-BLK,2,1,,,m+2,2,3,EFX-FLY-BLK,1,1,,
m+3,2,2,EFX-FLY-BLK,0,0,,,m+3,2,3,EFX-FLY-BLK,2,1,,,m+3,2,1,EFX-FLY-BLK,1,-1,,
m+1,3,3,M80-2B-BLK,0,0,1,,m+1,3,2,M80-2B-BLK,3,-1,1,,m+1,3,3,M80-2B-BLK,0,0,1,DRAW
m+2,1,0,M80-2B-BLK,1,-1,,,m+2,1,2,M80-2B-BLK,1,1,,,m+2,1,2,M80-2B-BLK,1,1,,
m+3,1,3,M80-2B-BLK,2,2,,,m+3,1,2,M80-2B-BLK,1,1,,,m+3,1,1,M80-2B-BLK,0,0,,
m+1,5,3,M80-2G-BLK,2,-2,-9,,m+1,5,2,M80-2G-BLK,5,-3,-8,,m+1,5,4,M80-2G-BLK,1,-1,-2,LSTM
m+2,5,0,M80-2G-BLK,5,-5,,,m+2,5,2,M80-2G-BLK,5,-3,,,m+2,5,4,M80-2G-BLK,1,-1,,
m+3,4,2,M80-2G-BLK,2,-2,,,m+3,4,2,M80-2G-BLK,4,-2,,,m+3,4,4,M80-2G-BLK,0,0,,
m+1,7,0,M80-AC-BLK,7,-7,-7,,m+1,7,1,M80-AC-BLK,7,-6,-4,,m+1,7,3,M80-AC-BLK,4,-4,-4,LSTM/ ARIMA
m+2,0,0,M80-AC-BLK,0,0,,,m+2,0,1,M80-AC-BLK,0,1,,,m+2,0,0,M80-AC-BLK,0,0,,
m+3,0,0,M80-AC-BLK,0,0,,,m+3,0,1,M80-AC-BLK,0,1,,,m+3,0,0,M80-AC-BLK,0,0,,
m+1,1,5,M80-AD-BLK,4,4,10,,m+1,1,2,M80-AD-BLK,1,1,6,,m+1,1,2,M80-AD-BLK,1,1,2,LSTM
m+2,3,6,M80-AD-BLK,3,3,,,m+2,3,4,M80-AD-BLK,3,1,,,m+2,3,3,M80-AD-BLK,0,0,,
m+3,1,4,M80-AD-BLK,3,3,,,m+3,1,5,M80-AD-BLK,1,4,,,m+3,1,2,M80-AD-BLK,1,1,,
m+1,0,3,M80-BTY-BLK-L,3,3,0,,m+1,0,1,M80-BTY-BLK-L,0,1,-1,,m+1,0,0,M80-BTY-BLK-L,0,0,1,SARIMA
m+2,3,0,M80-BTY-BLK-L,3,-3,,,m+2,3,1,M80-BTY-BLK-L,3,-2,,,m+2,3,3,M80-BTY-BLK-L,0,0,,
