order_id,order_date,order_total_price,product_price,order_discounts,product_discount,order_status,product_title,product_sku,product_quantity,product_category
20570,2018-01-01,449.97,249.99,yes,0.0,fulfilled,Vertigo™ Semi-Hollow,M80-VHB-BLK,1,Electric Guitar Cases & Gig Bags
20570,2018-01-01,449.97,89.99,yes,0.0,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
20556,2018-01-02,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Semi-Hollow,M80-VHB-BLK,1,Electric Guitar Cases & Gig Bags
20554,2018-01-02,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
20573,2018-01-01,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Electric Guitar,M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags
20575,2017-12-31,172.67,229.99,no,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
20551,2018-01-02,,229.99,no,229.99,fulfilled,Acoustic (Dreadnought / Standard),M80-AD-BLK,1,Acoustic Guitar Cases & Gig Bags
20555,2018-01-02,229.99,229.99,yes,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
20543,2018-01-03,229.99,229.99,yes,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
20541,2018-01-03,,249.99,no,249.99,fulfilled,Vertigo™ Electric Guitar,M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags
20539,2018-01-03,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Acoustic Guitar,M80-VAD-BLK,1,Acoustic Guitar Cases & Gig Bags
20531,2018-01-04,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
20540,2018-01-03,,229.99,no,229.99,fulfilled,Single Electric Guitar,M80-EG-BLK,1,Electric Guitar Cases & Gig Bags
20536,2018-01-03,246.66,229.99,yes,0.0,fulfilled,Acoustic (Dreadnought / Standard),M80-AD-BLK,1,Acoustic Guitar Cases & Gig Bags
20532,2018-01-04,,249.99,no,249.99,fulfilled,Vertigo™ Electric Bass (Grey),M80-VEB-GRY,1,Bass Guitar Cases & Gig Bags
20526,2018-01-05,229.99,229.99,yes,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
20516,2018-01-05,329.99,329.99,yes,0.0,fulfilled,Dual Electric Bass,M80-2B-BLK,1,Bass Guitar Cases & Gig Bags
20533,2018-01-04,,89.99,no,89.99,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
20504,2018-01-08,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Electric Guitar,M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags
20485,2018-01-08,150.0,249.99,no,0.0,fulfilled,Vertigo™ Acoustic Guitar,M80-VAD-BLK,1,Acoustic Guitar Cases & Gig Bags
20474,2018-01-09,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
20477,2018-01-09,135.48,229.99,no,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
20473,2018-01-09,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
20467,2018-01-09,199.98,149.99,yes,0.0,fulfilled,Guitar Sleeve™ (Ash),M80-SEG-ASH,1,Electric Guitar Cases & Gig Bags
20475,2018-01-09,329.99,329.99,yes,0.0,fulfilled,Dual Electric Guitar,M80-2G-BLK,1,Electric Guitar Cases & Gig Bags
20461,2018-01-10,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
22690,2018-01-12,339.98,89.99,yes,0.0,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
22690,2018-01-12,339.98,249.99,yes,0.0,fulfilled,Vertigo™ Electric Guitar,M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags
22689,2018-01-12,149.99,149.99,yes,0.0,fulfilled,Guitar Sleeve™ (Ash),M80-SEG-ASH,1,Electric Guitar Cases & Gig Bags
22687,2018-01-13,319.98,89.99,yes,0.0,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
22687,2018-01-13,319.98,229.99,yes,0.0,fulfilled,Acoustic (Classical / OM),M80-AC-BLK,1,Acoustic Guitar Cases & Gig Bags
22681,2018-01-14,,249.99,no,249.99,fulfilled,Vertigo™ Electric Bass,M80-VEB-BLK,1,Bass Guitar Cases & Gig Bags
