order_id,order_date,order_total_price,product_price,order_discounts,product_discount,order_status,product_title,product_sku,product_quantity,product_category,weekdays,sch_holidays
20570,2018-01-01,449.97,249.99,yes,0.0,fulfilled,"MONO Vertigo Semi-Hollow Guitar Case, Black",M80-VHB-BLK,1,Electric Guitar Cases & Gig Bags,1,Non Holidays
20570,2018-01-01,449.97,89.99,yes,0.0,fulfilled,"MONO Classic Tick Accessory Case 2.0, Black",M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,1,Non Holidays
20570,2018-01-01,449.97,109.99,yes,0.0,fulfilled,"MONO Pedalboard Lite, Silver",PFX-PB-LT-SLV,1,Pedalboards,1,Non Holidays
20556,2018-01-02,249.99,249.99,yes,0.0,fulfilled,"MONO Vertigo Semi-Hollow Guitar Case, Black",M80-VHB-BLK,1,Electric Guitar Cases & Gig Bags,2,Non Holidays
20554,2018-01-02,,229.99,no,229.99,fulfilled,"MONO Classic FlyBy Backpack, Black",EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,2,Non Holidays
20573,2018-01-01,249.99,249.99,yes,0.0,fulfilled,"MONO Vertigo Electric Guitar Case, Black",M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags,1,Non Holidays
20575,2017-12-31,172.67,229.99,no,0.0,fulfilled,"MONO Classic FlyBy Backpack, Black",EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,7,Sch Holidays
20552,2018-01-02,,169.99,no,169.99,fulfilled,"MONO Classic Fader Messenger Bag, Black",EFX-FAD-BLK,1,DJ Equipment Cases & Gig Bags,2,Non Holidays
20574,2018-01-01,69.56,49.99,yes,0.0,fulfilled,"MONO Die Cut Wallet, Black",CVL-DCW-BLK,1,Gifts,1,Non Holidays
20557,2018-01-02,63.91,49.99,yes,0.0,fulfilled,"MONO Loop Laptop Sleeve 13"", Black",CVL-LLT-13-BLK,1,Gifts,2,Non Holidays
20551,2018-01-02,,229.99,no,229.99,fulfilled,"MONO Classic Acoustic/Dreadnought Guitar Case, Black",M80-AD-BLK,1,Acoustic Guitar Cases & Gig Bags,2,Non Holidays
20555,2018-01-02,229.99,229.99,yes,0.0,fulfilled,"MONO Classic FlyBy Backpack, Black",EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,2,Non Holidays
20547,2018-01-02,135.06,109.99,yes,0.0,fulfilled,"MONO Pedalboard Lite, Silver",PFX-PB-LT-SLV,1,Pedalboards,2,Non Holidays
20543,2018-01-03,229.99,229.99,yes,0.0,fulfilled,"MONO Classic FlyBy Backpack, Black",EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,3,Non Holidays
20545,2018-01-03,,39.99,no,39.99,fulfilled,"MONO Warsaw Guitar Strap, Manta Black",M80-WAR-BLK,1,Guitar Straps,3,Non Holidays
20546,2018-01-03,168.04,89.99,no,0.0,fulfilled,"MONO Classic Tick Accessory Case 2.0, Grey",M80-TICK-V2-GRY,1,Pedals & Pedalboards Cases & Gig Bags,3,Non Holidays
20546,2018-01-03,168.04,109.99,no,0.0,fulfilled,"MONO Pedalboard Lite, Black",PFX-PB-LT-BLK,1,Pedalboards,3,Non Holidays
20544,2018-01-03,219.99,219.99,yes,0.0,fulfilled,"MONO Pedalboard Medium, Black",PFX-PB-M-BLK,1,Pedalboards,3,Non Holidays
20541,2018-01-03,,249.99,no,249.99,fulfilled,"MONO Vertigo Electric Guitar Case, Black",M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags,3,Non Holidays
20542,2018-01-03,,0.01,yes,0.0,fulfilled,MONO Tick Extender Black,TEX-BLK,3,Spareparts,3,Non Holidays
