,pdq_config,rmse
0,"[(1, 0, 1), (0, 0, 0, 12), 'c']",3.2167078478932587
1,"[(1, 0, 2), (2, 1, 0, 12), 'c']",3.2558067140450717
2,"[(1, 0, 2), (2, 1, 1, 12), 'c']",3.2558067140450717
3,"[(0, 0, 2), (2, 1, 0, 12), 'c']",3.2613010183176345
4,"[(0, 0, 2), (2, 1, 1, 12), 'c']",3.2613010183176345
5,"[(1, 0, 1), (0, 0, 0, 12), 't']",3.302403758342246
6,"[(2, 0, 2), (2, 1, 0, 12), 'c']",3.3427030686982073
7,"[(2, 0, 2), (2, 1, 1, 12), 'c']",3.3427030686982073
8,"[(1, 0, 2), (0, 1, 2, 12), 'c']",3.4313196827897734
9,"[(1, 0, 2), (1, 1, 2, 12), 'c']",3.4313196827897734
10,"[(1, 0, 2), (2, 1, 2, 12), 'c']",3.4313196827897734
11,"[(2, 0, 2), (0, 1, 2, 12), 'c']",3.5373531389203983
12,"[(2, 0, 2), (1, 1, 2, 12), 'c']",3.5373531389203983
13,"[(2, 0, 2), (2, 1, 2, 12), 'c']",3.5373531389203983
14,"[(0, 0, 2), (0, 1, 2, 12), 'c']",3.5430056978323856
15,"[(0, 0, 2), (1, 1, 2, 12), 'c']",3.5430056978323856
16,"[(0, 0, 2), (2, 1, 2, 12), 'c']",3.5430056978323856
17,"[(0, 0, 2), (0, 1, 1, 12), 'c']",3.561698846065274
18,"[(2, 0, 1), (0, 0, 0, 12), 't']",3.6248137684795236
19,"[(0, 0, 0), (1, 0, 2, 12), 'ct']",3.6553049563664586
20,"[(0, 1, 2), (0, 0, 0, 12), 'c']",3.688261073152195
21,"[(2, 1, 0), (0, 0, 0, 12), 'c']",3.720233982872238
22,"[(0, 0, 2), (1, 1, 1, 12), 'c']",3.7440018843690965
23,"[(0, 0, 0), (2, 0, 2, 12), 'ct']",3.8242110857420584
24,"[(2, 1, 1), (0, 1, 0, 12), 'c']",3.8408710150182626
25,"[(2, 0, 1), (0, 0, 2, 12), 'ct']",3.863267103362686
26,"[(0, 0, 0), (0, 0, 2, 12), 'ct']",3.8707861971377318
27,"[(1, 1, 0), (0, 0, 0, 12), 'c']",3.885703347538203
28,"[(2, 0, 1), (0, 0, 0, 12), 'c']",3.887378789402678
29,"[(2, 1, 0), (0, 0, 0, 12), 't']",3.8888539057117084
30,"[(2, 1, 0), (0, 1, 0, 12), 'c']",3.893447598564897
31,"[(2, 1, 0), (0, 1, 2, 12), 'c']",3.8934475985650323
32,"[(2, 1, 0), (1, 1, 2, 12), 'c']",3.8934475985650323
33,"[(2, 1, 0), (2, 1, 0, 12), 'c']",3.8934475985650425
34,"[(2, 1, 0), (2, 1, 1, 12), 'c']",3.8934475985650425
35,"[(2, 1, 0), (2, 1, 2, 12), 'c']",3.8934475985650425
36,"[(0, 1, 1), (0, 0, 0, 12), 'ct']",3.9011070470103433
37,"[(1, 0, 2), (0, 0, 0, 12), 't']",3.9084839626404446
38,"[(2, 1, 0), (0, 0, 0, 12), 'ct']",3.9430051215950708
39,"[(0, 0, 0), (0, 0, 1, 12), 'ct']",3.9854529628708444
40,"[(1, 1, 1), (0, 1, 0, 12), 'c']",3.9892442324470396
41,"[(0, 1, 2), (0, 0, 0, 12), 't']",3.9907588565901806
42,"[(0, 0, 0), (1, 0, 0, 12), 'ct']",3.9982685699412284
43,"[(2, 0, 0), (0, 0, 0, 12), 't']",4.007837608368689
44,"[(0, 1, 1), (0, 0, 0, 12), 't']",4.017362227076237
45,"[(1, 1, 1), (0, 0, 0, 12), 't']",4.023033902516869
46,"[(1, 1, 0), (0, 0, 0, 12), 't']",4.039776773884567
47,"[(1, 1, 0), (0, 1, 0, 12), 'c']",4.063244645368063
48,"[(1, 1, 0), (0, 1, 2, 12), 'c']",4.0632446453687106
49,"[(1, 1, 0), (1, 1, 2, 12), 'c']",4.0632446453687106
50,"[(1, 1, 0), (2, 1, 0, 12), 'c']",4.0632446453687106
51,"[(1, 1, 0), (2, 1, 1, 12), 'c']",4.0632446453687106
52,"[(1, 1, 0), (2, 1, 2, 12), 'c']",4.0632446453687106
53,"[(0, 1, 1), (0, 0, 0, 12), 'c']",4.089006615372837
54,"[(1, 1, 0), (0, 0, 0, 12), 'ct']",4.111987376372866
55,"[(2, 1, 0), (0, 1, 0, 12), 't']",4.129460360362038
56,"[(1, 1, 1), (0, 0, 0, 12), 'ct']",4.132792825533592
57,"[(2, 1, 0), (0, 0, 1, 12), 'c']",4.149939940725827
58,"[(1, 1, 2), (2, 0, 1, 12), 'c']",4.152821296512653
59,"[(0, 1, 2), (1, 0, 1, 12), 'ct']",4.178640508446936
60,"[(1, 1, 1), (0, 0, 0, 12), 'c']",4.1817252916786884
61,"[(2, 0, 0), (0, 0, 0, 12), 'ct']",4.184939735521811
62,"[(2, 0, 1), (0, 0, 0, 12), 'ct']",4.186683841211695
63,"[(2, 1, 1), (0, 1, 0, 12), 't']",4.18926931286029
64,"[(2, 0, 2), (0, 0, 0, 12), 'c']",4.202780174836511
65,"[(1, 1, 0), (0, 0, 2, 12), 't']",4.207456178109729
66,"[(0, 1, 0), (2, 1, 0, 12), 'c']",4.2081980008726685
67,"[(0, 1, 0), (2, 1, 1, 12), 'c']",4.2081980008726685
68,"[(0, 1, 0), (0, 1, 2, 12), 'c']",4.208198000872673
69,"[(0, 1, 0), (1, 1, 2, 12), 'c']",4.208198000872673
70,"[(0, 1, 0), (2, 1, 2, 12), 'c']",4.208198000872673
71,"[(1, 1, 0), (0, 1, 0, 12), 't']",4.213107879200322
72,"[(0, 1, 0), (0, 1, 0, 12), 'c']",4.219025490424906
73,"[(1, 0, 0), (1, 0, 2, 12), 'ct']",4.231011533895239
74,"[(2, 0, 1), (0, 0, 2, 12), 't']",4.248832957009435
75,"[(2, 0, 2), (0, 1, 0, 12), 'c']",4.2510028342614605
76,"[(0, 1, 2), (1, 0, 1, 12), 'c']",4.252263774390674
77,"[(0, 1, 1), (1, 0, 0, 12), 't']",4.269095767334238
78,"[(2, 0, 0), (2, 0, 1, 12), 'ct']",4.270160267529913
79,"[(2, 0, 1), (0, 1, 2, 12), 'c']",4.280742886182019
80,"[(2, 0, 1), (1, 1, 2, 12), 'c']",4.280742886182019
81,"[(2, 0, 1), (2, 1, 0, 12), 'c']",4.280742886182019
82,"[(2, 0, 1), (2, 1, 1, 12), 'c']",4.280742886182019
83,"[(2, 0, 1), (2, 1, 2, 12), 'c']",4.280742886182019
84,"[(2, 0, 1), (1, 0, 2, 12), 'c']",4.281899696116761
85,"[(2, 0, 0), (2, 0, 2, 12), 'ct']",4.28597917863134
86,"[(2, 0, 0), (0, 0, 0, 12), 'c']",4.289265770822981
87,"[(1, 0, 2), (0, 1, 1, 12), 'c']",4.296280309698942
88,"[(1, 1, 0), (1, 0, 0, 12), 'c']",4.296436871912863
89,"[(2, 0, 2), (0, 0, 0, 12), 't']",4.297888452530112
90,"[(1, 0, 0), (0, 0, 1, 12), 'ct']",4.315981690905967
91,"[(1, 1, 0), (0, 0, 2, 12), 'c']",4.323380398876453
92,"[(2, 0, 2), (0, 0, 2, 12), 'ct']",4.323719554348522
93,"[(0, 0, 2), (1, 1, 0, 12), 'c']",4.3338379372653835
94,"[(0, 1, 0), (0, 1, 0, 12), 't']",4.334908181485562
95,"[(0, 0, 0), (1, 0, 1, 12), 'ct']",4.343032420681482
96,"[(2, 1, 0), (0, 0, 1, 12), 't']",4.343681591822281
97,"[(0, 0, 1), (0, 0, 2, 12), 'ct']",4.350255634047874
98,"[(2, 0, 1), (0, 1, 0, 12), 't']",4.355510259975853
99,"[(1, 0, 1), (0, 0, 0, 12), 'ct']",4.359130178596409
100,"[(0, 0, 2), (0, 0, 2, 12), 'ct']",4.368473055284349
101,"[(1, 0, 1), (0, 1, 0, 12), 't']",4.370328146081665
