,test,predict,item,abs(diff),diff,
m+1,2,3,EFX-FLY-BLK,1,1,1
m+2,2,3,EFX-FLY-BLK,1,1,
m+3,2,1,EFX-FLY-BLK,1,-1,
m+1,3,3,M80-2B-BLK,0,0,1
m+2,1,2,M80-2B-BLK,1,1,
m+3,1,1,M80-2B-BLK,0,0,
m+1,5,4,M80-2G-BLK,1,-1,-2
m+2,5,4,M80-2G-BLK,1,-1,
m+3,4,4,M80-2G-BLK,0,0,
m+1,7,3,M80-AC-BLK,4,-4,-4
m+2,0,0,M80-AC-BLK,0,0,
m+3,0,0,M80-AC-BLK,0,0,
m+1,1,2,M80-AD-BLK,1,1,2
m+2,3,3,M80-AD-BLK,0,0,
m+3,1,2,M80-AD-BLK,1,1,
m+1,0,0,M80-BTY-BLK-L,0,0,1
m+2,3,3,M80-BTY-BLK-L,0,0,
m+3,1,2,M80-BTY-BLK-L,1,1,
m+1,4,2,M80-BTY-BLK-S,2,-2,-3
m+2,0,0,M80-BTY-BLK-S,0,0,
m+3,2,1,M80-BTY-BLK-S,1,-1,
m+1,2,2,M80-EB-BLK,0,0,-1
m+2,3,2,M80-EB-BLK,1,-1,
m+3,1,1,M80-EB-BLK,0,0,
m+1,0,0,M80-EG-BLK,0,0,1
m+2,2,2,M80-EG-BLK,0,0,
m+3,0,1,M80-EG-BLK,1,1,
m+1,2,1,M80-SEB-BLK,1,-1,-2
m+2,0,1,M80-SEB-BLK,1,1,
m+3,3,1,M80-SEB-BLK,2,-2,
m+1,2,1,M80-SEG-ASH,1,-1,-1
m+2,1,1,M80-SEG-ASH,0,0,
m+3,1,1,M80-SEG-ASH,0,0,
m+1,1,1,M80-SEG-BLK,0,0,0
m+2,2,1,M80-SEG-BLK,1,-1,
m+3,0,1,M80-SEG-BLK,1,1,
m+1,3,3,M80-TICK-V2-BLK,0,0,-1
m+2,4,3,M80-TICK-V2-BLK,1,-1,
m+3,3,3,M80-TICK-V2-BLK,0,0,
m+1,1,1,M80-TOUR-V2-BLK,0,0,0
m+2,1,1,M80-TOUR-V2-BLK,0,0,
m+3,1,1,M80-TOUR-V2-BLK,0,0,
m+1,6,3,M80-VAD-BLK,3,-3,-2
m+2,3,2,M80-VAD-BLK,1,-1,
m+3,0,2,M80-VAD-BLK,2,2,
m+1,8,2,M80-VEB-BLK,6,-6,-7
m+2,2,2,M80-VEB-BLK,0,0,
m+3,3,2,M80-VEB-BLK,1,-1,
m+1,0,1,M80-VEB-GRY,1,1,1
m+2,0,1,M80-VEB-GRY,1,1,
m+3,1,0,M80-VEB-GRY,1,-1,
m+1,6,3,M80-VEG-BLK,3,-3,0
m+2,2,4,M80-VEG-BLK,2,2,
m+3,3,4,M80-VEG-BLK,1,1,
m+1,2,3,M80-VEG-GRY,1,1,3
m+2,3,3,M80-VEG-GRY,0,0,
m+3,2,4,M80-VEG-GRY,2,2,
m+1,1,0,M80-VHB-BLK,1,-1,1
m+2,0,3,M80-VHB-BLK,3,3,
m+3,4,3,M80-VHB-BLK,1,-1,
,,,,,,
,,,,,,
,,,,,,
