,test,predict,item
m+1,2,2,EFX-FLY-BLK
m+2,2,2,EFX-FLY-BLK
m+3,5,3,EFX-FLY-BLK
m+1,1,1,M80-2B-BLK
m+2,1,1,M80-2B-BLK
m+3,1,1,M80-2B-BLK
m+1,5,5,M80-2G-BLK
m+2,4,4,M80-2G-BLK
m+3,5,4,M80-2G-BLK
m+1,0,0,M80-AC-BLK
m+2,0,0,M80-AC-BLK
m+3,1,1,M80-AC-BLK
m+1,3,3,M80-AD-BLK
m+2,1,2,M80-AD-BLK
m+3,0,1,M80-AD-BLK
m+1,3,3,M80-BTY-BLK-L
m+2,1,1,M80-BTY-BLK-L
m+3,1,1,M80-BTY-BLK-L
m+1,0,1,M80-BTY-BLK-S
m+2,2,2,M80-BTY-BLK-S
m+3,1,3,M80-BTY-BLK-S
m+1,3,2,M80-EB-BLK
m+2,1,1,M80-EB-BLK
m+3,1,2,M80-EB-BLK
m+1,2,2,M80-EG-BLK
m+2,0,2,M80-EG-BLK
m+3,3,2,M80-EG-BLK
m+1,0,0,M80-SEB-BLK
m+2,3,1,M80-SEB-BLK
m+3,0,0,M80-SEB-BLK
m+1,1,1,M80-SEG-ASH
m+2,1,1,M80-SEG-ASH
m+3,1,1,M80-SEG-ASH
m+1,2,1,M80-SEG-BLK
m+2,0,0,M80-SEG-BLK
m+3,2,1,M80-SEG-BLK
m+1,4,4,M80-TICK-V2-BLK
m+2,3,3,M80-TICK-V2-BLK
m+3,2,1,M80-TICK-V2-BLK
m+1,1,1,M80-TOUR-V2-BLK
m+2,1,1,M80-TOUR-V2-BLK
m+3,2,2,M80-TOUR-V2-BLK
m+1,3,2,M80-VAD-BLK
m+2,0,1,M80-VAD-BLK
m+3,3,3,M80-VAD-BLK
m+1,2,2,M80-VEB-BLK
m+2,3,2,M80-VEB-BLK
m+3,3,2,M80-VEB-BLK
m+1,0,0,M80-VEB-GRY
m+2,1,1,M80-VEB-GRY
m+3,0,1,M80-VEB-GRY
m+1,2,3,M80-VEG-BLK
m+2,3,3,M80-VEG-BLK
m+3,2,4,M80-VEG-BLK
m+1,3,3,M80-VEG-GRY
m+2,2,3,M80-VEG-GRY
m+3,2,4,M80-VEG-GRY
m+1,0,3,M80-VHB-BLK
m+2,4,3,M80-VHB-BLK
m+3,0,0,M80-VHB-BLK
