,item,test,forecast,rmse,abs(diff)
m+1,EFX-FLY-BLK,2,3,1.91,1
m+2,EFX-FLY-BLK,2,3,,
m+3,EFX-FLY-BLK,6,3,,
m+1,M80-2B-BLK,1,3,1.73,5
m+2,M80-2B-BLK,1,3,,
m+3,M80-2B-BLK,2,3,,
m+1,M80-2G-BLK,5,4,2.94,6
m+2,M80-2G-BLK,4,4,,
m+3,M80-2G-BLK,9,4,,
m+1,M80-AC-BLK,0,3,2.45,6
m+2,M80-AC-BLK,0,3,,
m+3,M80-AC-BLK,3,3,,
m+1,M80-AD-BLK,3,2,1.41,2
m+2,M80-AD-BLK,1,2,,
m+3,M80-AD-BLK,0,2,,
m+1,M80-BTY-BLK-L,3,1,1.29,3
m+2,M80-BTY-BLK-L,1,1,,
m+3,M80-BTY-BLK-L,2,1,,
m+1,M80-BTY-BLK-S,0,2,1.29,1
m+2,M80-BTY-BLK-S,2,2,,
m+3,M80-BTY-BLK-S,3,2,,
m+1,M80-EB-BLK,3,0,1.91,5
m+2,M80-EB-BLK,1,0,,
m+3,M80-EB-BLK,1,0,,
m+1,M80-EG-BLK,2,0,3.11,7
m+2,M80-EG-BLK,0,0,,
m+3,M80-EG-BLK,5,0,,
m+1,M80-SEB-BLK,0,1,1.41,0
m+2,M80-SEB-BLK,3,1,,
m+3,M80-SEB-BLK,0,1,,
m+1,M80-SEG-ASH,1,1,0.58,1
m+2,M80-SEG-ASH,1,1,,
m+3,M80-SEG-ASH,2,1,,
m+1,M80-SEG-BLK,2,1,1.41,2
m+2,M80-SEG-BLK,0,1,,
m+3,M80-SEG-BLK,3,1,,
m+1,M80-TICK-V2-BLK,4,1,3.56,10
m+2,M80-TICK-V2-BLK,3,1,,
m+3,M80-TICK-V2-BLK,6,1,,
m+1,M80-TOUR-V2-BLK,1,0,1.91,5
m+2,M80-TOUR-V2-BLK,1,0,,
m+3,M80-TOUR-V2-BLK,3,0,,
m+1,M80-VAD-BLK,3,3,1.73,3
m+2,M80-VAD-BLK,0,3,,
m+3,M80-VAD-BLK,3,3,,
m+1,M80-VEB-BLK,2,4,1.29,3
m+2,M80-VEB-BLK,3,4,,
m+3,M80-VEB-BLK,4,4,,
m+1,M80-VEB-GRY,0,1,0.82,2
m+2,M80-VEB-GRY,1,1,,
m+3,M80-VEB-GRY,0,1,,
m+1,M80-VEG-BLK,2,4,1.41,4
m+2,M80-VEG-BLK,3,4,,
m+3,M80-VEG-BLK,3,4,,
m+1,M80-VEG-GRY,3,1,1.41,4
m+2,M80-VEG-GRY,2,1,,
m+3,M80-VEG-GRY,2,1,,
m+1,M80-VHB-BLK,0,1,2.16,4
m+2,M80-VHB-BLK,4,1,,
m+3,M80-VHB-BLK,3,1,,
