order_id,order_created_at,order_total_price,order_status,order_discounts,product_title,product_sku,product_quantity,product_discount,product_category,product_deparments,product_created_at,,,
20570,2018-01-01T17:24:47.000Z,449.97,fulfilled,yes,Vertigo™ Semi-Hollow,M80-VHB-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20570,2018-01-01T17:24:47.000Z,449.97,fulfilled,yes,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,0,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20570,2018-01-01T17:24:47.000Z,449.97,fulfilled,yes,Pedalboard Lite (Silver),PFX-PB-LT-SLV,1,0,Pedalboards,,2017-10-26T02:57:14.000Z,,,
20556,2018-01-02T10:56:19.000Z,249.99,fulfilled,yes,Vertigo™ Semi-Hollow,M80-VHB-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20554,2018-01-02T11:45:26.000Z,,fulfilled,no,The FlyBy,EFX-FLY-BLK,1,229.99,DJ Equipment Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20573,2018-01-01T12:38:56.000Z,249.99,fulfilled,yes,Vertigo™ Electric Guitar,M80-VEG-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20575,2017-12-31T16:42:06.000Z,172.67,fulfilled,no,The FlyBy,EFX-FLY-BLK,1,0,DJ Equipment Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20552,2018-01-02T12:22:28.000Z,,fulfilled,no,The Fader,EFX-FAD-BLK,1,169.99,DJ Equipment Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20574,2018-01-01T08:13:30.000Z,69.56,fulfilled,yes,Die Cut Wallet (Sharkskin),CVL-DCW-BLK,1,0,Wallets,,2017-10-26T02:57:14.000Z,,,
20557,2018-01-02T09:30:04.000Z,63.91,fulfilled,yes,Loop Laptop,CVL-LLT-13-BLK,1,0,Gifts,,2017-10-26T02:57:14.000Z,,,
20551,2018-01-02T12:32:53.000Z,,fulfilled,no,Acoustic (Dreadnought / Standard),M80-AD-BLK,1,229.99,Acoustic Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20555,2018-01-02T10:59:02.000Z,229.99,fulfilled,yes,The FlyBy,EFX-FLY-BLK,1,0,DJ Equipment Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20547,2018-01-02T20:32:21.000Z,135.06,fulfilled,yes,Pedalboard Lite (Silver),PFX-PB-LT-SLV,1,0,Pedalboards,,2017-10-26T02:57:14.000Z,,,
20543,2018-01-03T11:00:33.000Z,229.99,fulfilled,yes,The FlyBy,EFX-FLY-BLK,1,0,DJ Equipment Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20545,2018-01-03T08:36:13.000Z,,fulfilled,no,The Warsaw (Manta Black),M80-WAR-BLK,1,39.99,Guitar Straps,,2017-10-26T02:57:14.000Z,,,
