id,sku,price_usd,category,tags,created_at
33184,M80-AD-BLK,229.99,Acoustic Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
33186,M80-VEG-BLK,249.99,Electric Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
33187,M80-EG-BLK,229.99,Electric Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34589,M80-VEG-GRY,249.99,Electric Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34590,M80-VEB-BLK,249.99,Bass Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34591,M80-VEB-GRY,249.99,Bass Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34676,M80-AC-BLK,229.99,Acoustic Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34677,M80-VHB-BLK,249.99,Electric Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34678,M80-2G-BLK,329.99,Electric Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34679,M80-2B-BLK,329.99,Bass Guitar Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34680,M80-TK1-BLK,89.99,Pedals & Pedalboards Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34681,M80-TK1-GRY,89.99,Pedals & Pedalboards Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34682,M80-PB1-BLK,149.99,Pedals & Pedalboards Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34683,M80-PB2-BLK,169.99,Pedals & Pedalboards Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34684,M80-PB3-BLK,199.99,Pedals & Pedalboards Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34685,M80-UC-BLK,149.99,Ukulele Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34686,M80-UT-BLK,149.99,Ukulele Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34687,M80-K61-BLK,229.99,Keyboard Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34688,M80-CY22-BLK,189.99,Drum & Percussion Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34689,M80-DP-BLK,149.99,Drum & Percussion Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34690,M80-SN-BLK,149.99,Drum & Percussion Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34691,M80-ST-BLK,79.99,Drum & Percussion Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34692,M80-SS-BLK,49.99,Drum & Percussion Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34693,M80-BTY-BLK-L,49.99,Guitar Straps,"Accessories,Guitar Accessories",2017-10-26T02:57:14.000Z
34694,M80-BTY-ASH-L,49.99,Guitar Straps,"Accessories,Guitar Accessories",2017-10-26T02:57:14.000Z
34695,M80-BTY-BLK-S,49.99,Guitar Straps,"Accessories,Guitar Accessories",2017-10-26T02:57:14.000Z
34696,M80-BTY-ASH-S,49.99,Guitar Straps,"Accessories,Guitar Accessories",2017-10-26T02:57:14.000Z
34697,M80-DLT-BLK,39.99,Guitar Straps,"Accessories,Guitar Accessories",2017-10-26T02:57:14.000Z
34698,M80-DLT-GRY,39.99,Guitar Straps,"Accessories,Guitar Accessories",2017-10-26T02:57:14.000Z
34699,M80-DLT-WHT,39.99,Guitar Straps,"Accessories,Guitar Accessories",2017-10-26T02:57:14.000Z
34700,M80-WAR-BLK,39.99,Guitar Straps,"Accessories,Guitar Accessories",2017-10-26T02:57:14.000Z
34701,M80-WAR-GRY,39.99,Guitar Straps,"Accessories,Guitar Accessories",2017-10-26T02:57:14.000Z
34702,EFX-KLR-BLK,229.99,DJ Equipment Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34703,EFX-365-BLK,229.99,DJ Equipment Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
34704,EFX-KON-BLK,169.99,DJ Equipment Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
