product_sku,product_title,variant_of,variant_title,color
M80-BTY-ASH-L,"MONO Betty Guitar Strap, Long, Ash",M80-BTY-BLK-L,MONO Betty Guitar Strap,Ash
M80-BTY-BLK-L,"MONO Betty Guitar Strap, Long, Black",M80-BTY-BLK-L,MONO Betty Guitar Strap,Black
M80-BTY-ASH-S,"MONO Betty Guitar Strap, Short, Ash",M80-BTY-BLK-S,MONO Betty Guitar Strap,Ash
M80-BTY-BLK-S,"MONO Betty Guitar Strap, Short, Black",M80-BTY-BLK-S,MONO Betty Guitar Strap,Black
EFX-365-BLK,"MONO Classic 365 Backpack, Black",,,
M80-AP-BLK,"MONO Classic Acoustic Parlor Guitar Case, Black",,,
M80-AD-BLK,"MONO Classic Acoustic/Dreadnought Guitar Case, Black",,,
M80-EB-BLK,"MONO Classic Bass Guitar Case, Black",,,
M80-PB1-BLK,"MONO Classic Club Pedalboard Case, Black",,,
M80-UC-BLK,"MONO Classic Concert Ukulele Case, Black",,,
M80-2A-BLK,"MONO Classic Dual Acoustic/Electric Guitar Case, Black",,,
M80-2B-BLK,"MONO Classic Dual Bass Guitar Case, Black",,,
M80-2G-BLK,"MONO Classic Dual Electric Guitar Case, Black",,,
M80-EG-BLK,"MONO Classic Electric Guitar Case, Black",,,
EFX-FAD-BLK,"MONO Classic Fader Messenger Bag, Black",EFX-FAD-BLK,MONO Classic Fader Messenger Bag,Black
EFX-FAD-GRY,"MONO Classic Fader Messenger Bag, Grey",EFX-FAD-BLK,MONO Classic Fader Messenger Bag,Grey
EFX-FLY-BLK,"MONO Classic FlyBy Backpack, Black",,,
M80-JA-BLK,"MONO Classic Jumbo Acoustic Guitar Case, Black",,,
EFX-KON-BLK,"MONO Classic Kondensor Messenger Bag, Black",,,
EFX-KLR-BLK,"MONO Classic Kontroller Messenger Bag, Black",,,
M80-AC-BLK,"MONO Classic OM/Classical Guitar Case, Black",,,
M80-PB3-BLK,"MONO Classic Pro Pedalboard Case, Black",,,
EFX-PDR-BLK,"MONO Classic Producer Messenger Bag, Black",,,
M80-UT-BLK,"MONO Classic Tenor Ukulele Case, Black",,,
M80-TICK-V2-BLK,"MONO Classic Tick Accessory Case 2.0, Black",M80-TICK-V2-BLK,MONO Classic Tick Accessory Case,Black
M80-TICK-V2-GRY,"MONO Classic Tick Accessory Case 2.0, Grey",M80-TICK-V2-BLK,MONO Classic Tick Accessory Case,Grey
M80-TK1-BLK,"MONO Classic Tick Accessory Case, Black",M80-TK1-BLK,MONO Classic Tick Accessory Case,Black
M80-TK1-GRY,"MONO Classic Tick Accessory Case, Grey",M80-TK1-BLK,MONO Classic Tick Accessory Case,Grey
M80-PB2-BLK,"MONO Classic Tour Pedalboard Case, Black",,,
M80-CLUB-V2-BLK,"MONO Club Accessory Case 2.0, Black",,,
M80-CY22-ASH,"MONO Cymbal Case 22"", Ash",M80-CY22-BLK,MONO Cymbal Case,Ash
M80-CY22-BLK,"MONO Cymbal Case 22"", Black",M80-CY22-BLK,MONO Cymbal Case,Black
M80-CY24-ASH,"MONO Cymbal Case 24"", Ash",M80-CY24-BLK,MONO Cymbal Case,Ash
M80-CY24-BLK,"MONO Cymbal Case 24"", Black",M80-CY24-BLK,MONO Cymbal Case,Black
CVL-DCW-ASH,"MONO Die Cut Wallet, Ash",CVL-DCW-BLK,MONO Die Cut Wallet,Ash
CVL-DCW-BLK,"MONO Die Cut Wallet, Black",CVL-DCW-BLK,MONO Die Cut Wallet,Black
M80-DLT-WHT,"MONO Doolittle Guitar Strap, Arctic White",M80-DLT-BLK,MONO Doolittle Guitar Strap,Arctic White
M80-DLT-BRN,"MONO Doolittle Guitar Strap, Brown Sugar",M80-DLT-BLK,MONO Doolittle Guitar Strap,Brown Sugar
M80-DLT-GRY,"MONO Doolittle Guitar Strap, Dolphin Grey",M80-DLT-BLK,MONO Doolittle Guitar Strap,Dolphin Grey
M80-DLT-BLK,"MONO Doolittle Guitar Strap, True Black",M80-DLT-BLK,MONO Doolittle Guitar Strap,True Black
M80-DP-BLK,"MONO Double Pedal Case, Black",,,
CVL-XPK-BLK,"MONO Expander Backpack, Black",,,
CVL-LPD-ASH,"MONO Loop iPad Sleeve, Ash",CVL-LPD-BLK,MONO Loop iPad Sleeve,Ash
CVL-LPD-BLK,"MONO Loop iPad Sleeve, Black",CVL-LPD-BLK,MONO Loop iPad Sleeve,Black
CVL-LPD-WHT,"MONO Loop iPad Sleeve, White",CVL-LPD-BLK,MONO Loop iPad Sleeve,White
CVL-LLT-13-ASH,"MONO Loop Laptop Sleeve 13"", Ash",CVL-LLT-13-BLK,MONO Loop Laptop Sleeve,Ash
CVL-LLT-13-BLK,"MONO Loop Laptop Sleeve 13"", Black",CVL-LLT-13-BLK,MONO Loop Laptop Sleeve,Black
CVL-LLT-13-WHT,"MONO Loop Laptop Sleeve 13"", White",CVL-LLT-13-BLK,MONO Loop Laptop Sleeve,White
CVL-LLT-15-ASH,"MONO Loop Laptop Sleeve 15"", Ash",CVL-LLT-15-BLK,MONO Loop Laptop Sleeve,Ash
CVL-LLT-15-BLK,"MONO Loop Laptop Sleeve 15"", Black",CVL-LLT-15-BLK,MONO Loop Laptop Sleeve,Black
CVL-LLT-15-WHT,"MONO Loop Laptop Sleeve 15"", White",CVL-LLT-15-BLK,MONO Loop Laptop Sleeve,White
CVL-LLT-17-BLK,"MONO Loop Laptop Sleeve 17"", Black",CVL-LLT-17-BLK,MONO Loop Laptop Sleeve,Black
CVL-LLT-17-WHT,"MONO Loop Laptop Sleeve 17"", White",CVL-LLT-17-BLK,MONO Loop Laptop Sleeve,White
M80-FLY-ULT-BLK,"MONO M80 Classic Flyby Ultra Backpack, Black",,,
M80-TT-BLK,MONO M80 Tour Tag,,,
CVL-PPW-WHT,"MONO Passport Wallet, Gloss White",CVL-PPW-BLK,MONO Passport Wallet,Gloss White
CVL-PPW-BLK,"MONO Passport Wallet, Jet Black",CVL-PPW-BLK,MONO Passport Wallet,Jet Black
PFX-PB-L-BLK,"MONO Pedalboard Large, Black",PFX-PB-L-BLK,MONO Pedalboard,Black
PFX-PB-L-SLV,"MONO Pedalboard Large, Silver",PFX-PB-L-BLK,MONO Pedalboard,Silver
PFX-PB-M-BLK,"MONO Pedalboard Medium, Black",PFX-PB-M-BLK,MONO Pedalboard,Black
PFX-PB-M-SLV,"MONO Pedalboard Medium, Silver",PFX-PB-M-BLK,MONO Pedalboard,Silver
PFX-PB-S-BLK,"MONO Pedalboard Small, Black",PFX-PB-S-BLK,MONO Pedalboard,Black
PFX-PB-S-SLV,"MONO Pedalboard Small, Silver",PFX-PB-S-BLK,MONO Pedalboard,Silver
PFX-PB-ACC-KIT,"MONO Pedalboard Accessories Kit, Black",,,
PFX-PB-S-BLK-BDL,"MONO Pedalboard Small, Black and Club Accessory Case 2.0, Black",PFX-PB-S-BLK,MONO Pedalboard and Club Accessory Case 2.0,Black
PFX-PB-S-SLV-BDL,"MONO Pedalboard Small, Silver and Club Accessory Case 2.0, Black",PFX-PB-S-BLK,MONO Pedalboard and Club Accessory Case 2.0,Silver
PFX-PB-S-BLK,"Pedalboard Small, Black + Club Accessory Case 2.0, Black",PFX-PB-S-BLK,MONO Pedalboard and Club Accessory Case 2.0,Black
PFX-PB-S-SLV,"Pedalboard Small, Silver + Club Accessory Case 2.0, Black",PFX-PB-S-BLK,MONO Pedalboard and Club Accessory Case 2.0,Silver
PFX-PB-L-BLK-BDL,"MONO Pedalboard Large, Black and Pro Accessory Case 2.0, Black",PFX-PB-L-BLK-BDL,MONO Pedalboard and Pro Accessory Case 2.0,Black
PFX-PB-L-SLV-BDL,"MONO Pedalboard Large, Silver and Pro Accessory Case 2.0, Black",PFX-PB-L-BLK-BDL,MONO Pedalboard and Pro Accessory Case 2.0,Silver
PFX-PB-L-BLK,"Pedalboard Large, Black + Pro Accessory Case 2.0, Black",PFX-PB-L-BLK,MONO Pedalboard and Pro Accessory Case 2.0,Black
PFX-PB-L-SLV,"Pedalboard Large, Silver + Pro Accessory Case 2.0, Black",PFX-PB-L-BLK,MONO Pedalboard and Pro Accessory Case 2.0,Silver
PFX-PB-M-BLK-BDL,"MONO Pedalboard Medium, Black and Tour Accessory Case 2.0, Black",PFX-PB-M-BLK-BDL,MONO Pedalboard and Tour Accessory Case 2.0,Black
PFX-PB-M-SLV-BDL,"MONO Pedalboard Medium, Silver and Tour Accessory Case 2.0, Black",PFX-PB-M-BLK-BDL,MONO Pedalboard and Tour Accessory Case 2.0,Silver
PFX-PB-M-BLK,"Pedalboard Medium, Black + Tour Accessory Case 2.0, Black",PFX-PB-M-BLK,MONO Pedalboard and Tour Accessory Case 2.0,Black
