"id","title","sku","price_usd","category","tags","created_at"
33184,"MONO Classic Acoustic/Dreadnought Guitar Case, Black","M80-AD-BLK",229.99,"Acoustic Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
33186,"MONO Vertigo Electric Guitar Case, Black","M80-VEG-BLK",249.99,"Electric Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
33187,"MONO Classic Electric Guitar Case, Black","M80-EG-BLK",229.99,"Electric Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
34589,"MONO Vertigo Electric Guitar Case, Grey","M80-VEG-GRY",249.99,"Electric Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
34590,"MONO Vertigo Bass Guitar Case, Black","M80-VEB-BLK",249.99,"Bass Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
34591,"MONO Vertigo Bass Guitar Case, Grey","M80-VEB-GRY",249.99,"Bass Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
34676,"MONO Classic OM/Classical Guitar Case, Black","M80-AC-BLK",229.99,"Acoustic Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
34677,"MONO Vertigo Semi-Hollow Guitar Case, Black","M80-VHB-BLK",249.99,"Electric Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
34678,"MONO Classic Dual Electric Guitar Case, Black","M80-2G-BLK",329.99,"Electric Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
34679,"MONO Classic Dual Bass Guitar Case, Black","M80-2B-BLK",329.99,"Bass Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
34680,"MONO Classic Tick Accessory Case, Black","M80-TK1-BLK",89.99,"Pedals & Pedalboards Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
